iter	Passed	Remaining
828	11986	16931
829	12002	16919
830	12021	16910
831	12037	16899
832	12071	16911
833	12094	16908
834	12111	16898
835	12126	16883
836	12140	16868
837	12154	16853
838	12167	16837
839	12182	16822
840	12197	16809
841	12212	16795
842	12226	16780
843	12240	16765
844	12255	16751
845	12269	16736
846	12283	16720
847	12298	16707
848	12312	16692
849	12327	16678
850	12341	16663
851	12355	16648
852	12369	16633
853	12384	16619
854	12399	16605
855	12414	16590
856	12429	16576
857	12443	16562
858	12458	16547
859	12472	16533
860	12487	16519
861	12502	16506
862	12519	16493
863	12534	16481
864	12549	16466
865	12564	16452
866	12578	16437
867	12592	16422
868	12606	16407
869	12622	16394
870	12638	16381
871	12652	16367
872	12668	16353
873	12683	16340
874	12698	16326
875	12714	16313
876	12732	16304
877	12749	16292
878	12764	16278
879	12779	16265
880	12796	16253
881	12814	16242
882	12832	16232
883	12849	16221
884	12865	16209
885	12882	16197
886	12898	16185
887	12914	16172
888	12929	16158
889	12945	16144
890	12958	16128
891	12972	16113
892	12986	16098
893	13001	16084
894	13015	16069
895	13029	16054
896	13044	16039
897	13058	16025
898	13072	16009
899	13086	15994
900	13100	15979
901	13114	15964
902	13128	15948
903	13143	15934
904	13156	15918
905	13169	15902
906	13184	15887
907	13198	15872
908	13213	15859
909	13227	15844
910	13241	15829
911	13255	15813
912	13269	15797
913	13284	15784
914	13299	15770
915	13314	15755
916	13327	15740
917	13344	15728
918	13358	15713
919	13373	15699
920	13388	15685
921	13402	15670
922	13417	15656
923	13432	15641
924	13447	15628
925	13461	15613
926	13476	15598
927	13490	15583
928	13503	15567
929	13517	15552
930	13532	15538
931	13546	15523
932	13561	15509
933	13575	15494
934	13589	15478
935	13604	15465
936	13618	15449
937	13633	15435
938	13647	15420
939	13664	15408
940	13678	15393
941	13693	15379
942	13707	15364
943	13723	15351
944	13739	15338
945	13753	15323
946	13768	15309
947	13783	15295
948	13797	15280
949	13814	15268
950	13834	15259
951	13850	15247
952	13866	15234
953	13883	15222
954	13899	15209
955	13916	15197
956	13932	15184
957	13949	15172
958	13966	15160
959	13983	15149
960	14001	15137
961	14016	15124
962	14033	15112
963	14052	15101
964	14068	15089
965	14085	15076
966	14101	15064
967	14120	15054
968	14137	15041
969	14154	15030
970	14170	15017
971	14187	15004
972	14202	14990
973	14219	14978
974	14234	14964
975	14252	14953
976	14268	14940
977	14284	14927
978	14300	14913
979	14315	14899
980	14329	14884
981	14345	14871
982	14361	14857
983	14376	14844
984	14392	14830
985	14436	14846
986	14454	14835
987	14470	14822
988	14484	14806
989	14499	14792
990	14514	14778
991	14529	14763
992	14545	14750
993	14561	14736
994	14575	14722
995	14590	14707
996	14604	14692
997	14623	14682
998	14639	14669
999	14654	14654
1000	14669	14639
1001	14683	14625
1002	14698	14610
1003	14712	14595
1004	14727	14580
1005	14741	14565
1006	14756	14550
1007	14770	14536
1008	14784	14521
1009	14798	14505
1010	14814	14491
1011	14828	14476
1012	14843	14462
1013	14857	14447
1014	14871	14432
1015	14885	14417
1016	14900	14402
1017	14915	14387
1018	14930	14373
1019	14944	14358
1020	14958	14342
1021	14972	14327
1022	14989	14315
1023	15003	14300
1024	15018	14285
1025	15032	14270
1026	15047	14255
1027	15061	14241
1028	15075	14226
1029	15090	14211
1030	15104	14196
1031	15118	14181
1032	15134	14167
1033	15148	14151
1034	15162	14136
1035	15176	14121
1036	15191	14107
1037	15205	14091
1038	15219	14077
1039	15233	14061
1040	15247	14046
1041	15262	14032
1042	15276	14016
1043	15291	14002
1044	15307	13988
1045	15321	13973
1046	15335	13958
1047	15350	13943
1048	15364	13929
1049	15379	13915
1050	15394	13900
1051	15409	13886
1052	15424	13871
1053	15439	13857
1054	15455	13843
1055	15469	13828
1056	15482	13812
1057	15496	13797
1058	15510	13782
1059	15524	13767
1060	15539	13752
1061	15555	13738
1062	15569	13724
1063	15583	13709
1064	15598	13694
1065	15612	13679
1066	15627	13664
1067	15641	13649
1068	15655	13634
1069	15669	13619
1070	15683	13604
1071	15697	13589
1072	15712	13574
1073	15727	13560
1074	15741	13545
1075	15756	13530
1076	15770	13515
1077	15784	13500
1078	15800	13486
1079	15815	13472
1080	15829	13457
1081	15845	13443
1082	15860	13429
1083	15876	13416
1084	15890	13401
1085	15905	13386
1086	15920	13371
1087	15935	13357
1088	15950	13343
1089	15965	13329
1090	15981	13315
1091	15998	13302
1092	16015	13289
1093	16031	13276
1094	16048	13263
1095	16067	13252
1096	16083	13238
1097	16098	13225
1098	16113	13210
1099	16129	13196
1100	16144	13182
1101	16159	13168
1102	16174	13153
1103	16189	13139
1104	16204	13125
1105	16218	13109
1106	16234	13095
1107	16249	13081
1108	16265	13068
1109	16280	13054
1110	16296	13040
1111	16312	13026
1112	16329	13013
1113	16345	12999
1114	16361	12986
1115	16377	12972
1116	16395	12960
1117	16412	12948
1118	16428	12934
1119	16446	12921
1120	16462	12908
1121	16478	12894
1122	16493	12880
1123	16508	12866
1124	16524	12852
1125	16539	12837
1126	16553	12822
1127	16569	12808
1128	16585	12795
1129	16601	12781
1130	16616	12767
1131	16632	12753
1132	16648	12739
1133	16664	12726
1134	16680	12712
1135	16696	12698
1136	16711	12684
1137	16727	12670
1138	16742	12655
1139	16757	12641
1140	16778	12631
1141	16794	12618
1142	16809	12603
1143	16824	12588
1144	16839	12574
1145	16853	12559
1146	16869	12545
1147	16884	12530
1148	16898	12515
1149	16913	12501
1150	16928	12487
1151	16943	12472
1152	16958	12458
1153	16973	12443
1154	16988	12428
1155	17003	12414
1156	17018	12399
1157	17033	12385
1158	17048	12370
1159	17062	12355
1160	17077	12341
1161	17092	12326
1162	17107	12311
1163	17122	12297
1164	17137	12283
1165	17152	12268
1166	17168	12254
1167	17183	12240
1168	17199	12226
1169	17214	12211
1170	17229	12197
1171	17244	12183
1172	17260	12168
1173	17275	12154
1174	17291	12140
1175	17305	12125
1176	17320	12111
1177	17335	12096
1178	17350	12082
1179	17366	12068
1180	17381	12053
1181	17396	12039
1182	17411	12024
1183	17426	12010
1184	17441	11995
1185	17456	11981
1186	17471	11966
1187	17487	11952
1188	17504	11939
1189	17519	11925
1190	17535	11911
1191	17551	11896
1192	17565	11882
1193	17580	11867
1194	17596	11853
1195	17610	11838
1196	17625	11823
1197	17640	11809
1198	17656	11795
1199	17670	11780
1200	17685	11766
1201	17701	11751
1202	17715	11736
1203	17731	11723
1204	17758	11716
1205	17773	11701
1206	17789	11687
1207	17804	11673
1208	17819	11658
1209	17834	11643
1210	17850	11629
1211	17865	11615
1212	17880	11601
1213	17895	11586
1214	17911	11572
1215	17927	11558
1216	17942	11544
1217	17957	11529
1218	17973	11515
1219	17988	11500
1220	18003	11486
1221	18018	11471
1222	18033	11456
1223	18047	11442
1224	18062	11427
1225	18077	11412
1226	18092	11398
1227	18107	11383
1228	18121	11368
1229	18137	11354
1230	18151	11339
1231	18167	11325
1232	18182	11310
1233	18197	11296
1234	18212	11281
1235	18228	11267
1236	18243	11252
1237	18259	11238
1238	18273	11223
1239	18287	11208
1240	18302	11194
1241	18318	11179
1242	18333	11165
1243	18347	11150
1244	18363	11136
1245	18379	11121
1246	18394	11107
1247	18408	11092
1248	18424	11078
1249	18439	11063
1250	18481	11065
1251	18503	11054
1252	18519	11040
1253	18535	11026
1254	18550	11012
1255	18565	10997
1256	18580	10982
1257	18597	10969
1258	18611	10954
1259	18625	10938
1260	18641	10924
1261	18657	10910
1262	18674	10897
1263	18689	10882
1264	18704	10867
1265	18718	10852
1266	18733	10837
1267	18749	10823
1268	18765	10809
1269	18779	10794
1270	18795	10780
1271	18810	10765
1272	18825	10751
1273	18840	10736
1274	18855	10721
1275	18870	10707
1276	18886	10692
1277	18902	10678
1278	18916	10663
1279	18932	10649
1280	18947	10634
1281	18962	10620
1282	18978	10606
1283	18996	10593
1284	19012	10578
1285	19026	10563
1286	19042	10549
1287	19058	10535
1288	19075	10522
1289	19091	10507
1290	19107	10493
1291	19123	10479
1292	19140	10465
1293	19156	10451
1294	19173	10438
1295	19189	10423
1296	19206	10410
1297	19223	10396
1298	19239	10382
1299	19258	10369
1300	19275	10356
1301	19292	10342
1302	19307	10328
1303	19324	10314
1304	19340	10300
1305	19355	10285
1306	19370	10270
1307	19385	10255
1308	19399	10240
1309	19415	10226
1310	19428	10210
1311	19444	10196
1312	19460	10182
1313	19475	10167
1314	19490	10152
1315	19507	10139
1316	19522	10124
1317	19537	10109
1318	19552	10094
1319	19568	10080
1320	19582	10065
1321	19597	10050
1322	19613	10036
1323	19628	10021
1324	19643	10007
1325	19657	9991
1326	19672	9977
1327	19688	9962
1328	19703	9947
1329	19718	9933
1330	19733	9918
1331	19751	9905
1332	19766	9890
1333	19780	9875
1334	19794	9860
1335	19810	9845
1336	19826	9831
1337	19841	9817
1338	19856	9802
1339	19872	9787
1340	19888	9773
1341	19903	9758
1342	19918	9744
1343	19933	9729
1344	19949	9715
1345	19962	9699
1346	19978	9685
1347	19993	9670
1348	20007	9655
1349	20023	9640
1350	20038	9625
1351	20052	9611
1352	20068	9596
1353	20083	9581
1354	20097	9566
1355	20113	9552
1356	20128	9537
1357	20144	9523
1358	20160	9509
1359	20177	9495
1360	20195	9482
1361	20211	9467
1362	20226	9452
1363	20240	9437
1364	20256	9423
1365	20271	9408
1366	20286	9393
1367	20300	9378
1368	20314	9363
1369	20335	9351
1370	20351	9336
1371	20367	9322
1372	20382	9307
1373	20398	9293
1374	20412	9278
1375	20428	9263
1376	20443	9249
1377	20459	9234
1378	20474	9220
1379	20489	9205
1380	20506	9191
1381	20522	9177
1382	20539	9163
1383	20555	9148
1384	20574	9136
1385	20592	9122
1386	20609	9108
1387	20625	9094
1388	20640	9079
1389	20656	9065
1390	20674	9051
1391	20692	9038
1392	20707	9023
1393	20723	9009
1394	20741	8995
1395	20757	8981
1396	20773	8966
1397	20789	8952
1398	20805	8937
1399	20821	8923
1400	20835	8908
1401	20850	8893
1402	20865	8878
1403	20880	8863
1404	20895	8849
1405	20910	8834
1406	20925	8819
1407	20941	8804
1408	20956	8790
1409	20971	8775
1410	20986	8760
1411	21001	8745
1412	21017	8731
1413	21032	8716
